"instance_id","county","total_positive_cases","no_recovered","total_cases_recovered"
40,"Charles Mix","4","62","3"
40,"Clark","1","44","1"
40,"Clay","5","102","4"
40,"Codington","13","372","12"
40,"Corson","1","7","1"
40,"Custer","0","13","0"
40,"Davison","3","246","3"
40,"Day","0","43","0"
40,"Deuel","1","59","1"
40,"Dewey","0","20","0"
40,"Douglas","0","21","0"
40,"Edmunds","0","18","0"
40,"Fall River","1","10","1"
40,"Faulk","1","14","1"
40,"Grant","0","30","0"
40,"Gregory","0","28","0"
40,"Haakon","0","10","0"
40,"Hamlin","2","49","1"
40,"Hand","0","18","0"
40,"Hanson","0","18","0"
40,"Harding","0","1","0"
40,"Hughes","5","199","4"
40,"Hutchinson","2","69","2"
40,"Hyde","1","7","1"
40,"Jackson","0","3","0"
40,"Jerauld","4","24","4"
40,"Jones","0","4","0"
40,"Kingsbury","0","55","0"
40,"Lake","3","86","2"
40,"Lawrence","9","60","9"
40,"Lincoln","95","1006","48"
40,"Lyman","2","17","2"
40,"Marshall","1","33","1"
40,"McCook","3","77","2"
40,"McPherson","0","11","0"
40,"Meade","1","54","1"
40,"Mellette","0","11","0"
40,"Miner","1","16","0"
40,"Minnehaha","1405","4317","514"
40,"Moody","1","69","0"
40,"Oglala Lakota","1","21","1"
40,"Pennington","11","332","7"
40,"Perkins","0","0","0"
40,"Potter","0","27","0"
40,"Roberts","4","75","4"
40,"Sanborn","3","31","2"
40,"Spink","3","78","2"
40,"Stanley","0","29","0"
40,"Sully","1","12","1"
40,"Todd","1","32","1"
40,"Tripp","0","49","0"
40,"Turner","6","110","3"
40,"Union","7","99","3"
40,"Walworth","5","24","4"
40,"Yankton","23","358","20"
40,"Ziebach","0","3","0"
40,"Unassigned*","0","1031","0"
